cipi_file;cipi_sha256;dataset_file;dataset_sha256
xmander_files/5271127.musicxml;ac8a7fa67623041042fdad5d9c4c4ca2bedada440b44e82dcc8ce657d32d6992;difficulty_dataset/1_Bach_Menuet_bwvAnh_132.xml;68a6c2c670107909b726bb0a3c3b5e11a1dd6013ec4c514e4f02924e76fc9071
xmander_files/2302146.musicxml;35734ebf7947fe0097d65e095c05a2c67fddf6f03e28d2dade4f990c595b5507;difficulty_dataset/2_Bach_Prelude_bwv_926.xml;6887ec5cc3a7cd944080fb4ce4376f235246ac3a2d8c2e5a312d62790032ab87
xmander_files/5737550.musicxml;4ea33a7fd574fabe908971b920ca0bafa84d50b145b67371ee72035b743d3416;difficulty_dataset/3_Bach_LittlePrelude_bwv_936.xml;d830893e307fba90f81a60fabdbeb635f0fa9a55875c890d0fffb877b6a5e3b8
xmander_files/6136812.musicxml;7964fd0d00e7dfab7682389f3017500762e78cfec27e8f4296e9d49620e5cf0c;difficulty_dataset/4_Bach_Prelude_bwv_939.xml;d2d2f99b155832ec0c2c2dac0c06292bed2bb8c73e254cf401d1ce48cea5897d
craig_files/bach-inventions/inven01.musicxml;ea4b9ff3009f41fdd7824c1499d8bc2c6fed1aaff9305936455829c091cc6ca8;difficulty_dataset/5_Bach_Invention_nr_1_bwv_772.xml;25e9e2ab9db4e2d35b263cffe749ff0d4de8691bb4bb0ef15698aeec3731c95d
craig_files/bach-inventions/inven14.musicxml;ab57e661a04f7076ad3ccc18115215c5d9b1a8138fe73f565f4e2be964364fde;difficulty_dataset/6_Bach_Invention_nr_14_bwv_785.xml;3c221cba62e1b933f4915af20ed4c9b6affc7e9149d57da38c6a724b506befec
xmander_files/6408241.musicxml;5031680b7ce6cee930d242cb683aceb10bb7355c343b87e30d12a052ae2d4afd;difficulty_dataset/7_Bach_Sinfonia_nr_15_bwv_801.xml;4929833417ca2511c04b0c6562d85f0b037fd76fc758531b71d2376a7f5af90d
xmander_files/274576.musicxml;0fee94a019575ab79523f8c3e65d3935b8621b08cf9c15da2da8b8bcf4cb38db;difficulty_dataset/8_Bach_Prelude_wtc_vol_I_nr_5_bwv_850.xml;7cf78627445e92edb91e7641beb18fc5e8b819b05596b1323f0ad81eccb57ee4
craig_files/wtc/wtc1p15.musicxml;3c1b8ed92b115952b0e47d56a9e2c5c52a42ccc397975734173c2cf3417284c5;difficulty_dataset/9_Bach_Prelude_wtc_vol_I_nr_15_bwv_860.xml;9dda7a6eeeff2e91bd3f29a971219defe7dc90c55c99fac83b7b490cd3da1bc4
xmander_files/6112463.musicxml;aa08765a2c9376ba7d1d8ebd707e48e5a127c279065a2c9cd73b130c6363a8a1;difficulty_dataset/10_Haydn_PianoSonata_hob_xvi.xml;c1fe7979ce311dd20083220ea3e09c633b13e5e232a44b540d32822f3be0276e
xmander_files/6263139.musicxml;05ae6b28050f0c7ef94b5bbfcf85b6e6cb1cbc6aa3498b41a456f17663aca17c;difficulty_dataset/11_Mozart_Andante_kv_1a.xml;c60ddd639d73065be71c777d1bcd6b1a170f9f8e2c286641402a14d0fb038a97
xmander_files/5930179.musicxml;6f817dbadcd08c13653a715e197cf03aa29ed21d72ae5b87fb9df46fb551fdf2;difficulty_dataset/12_Mozart_Trio_kv_1_1e.xml;f175c7c4564637a310f5886828899097bd18e3b6f0e50e8173abb860d81767b4
xmander_files/6427188.musicxml;081e4bf9e7191302a362ddadef68cd9bc9f7eab0d84ec9c26191fad1d1935b05;difficulty_dataset/13_Clementi_Sonatina_op_36_nr_1_1st_movt.xml;8c3194787118b199ba83be1465ef7fa029975a6b6e953ca5bfc153bc654478d3
