dataset_file;composer;work_number;work_title;movement_number;movement_title
1_Bach_Menuet_bwvAnh_132.xml;Bach, Johann Sebastian;BWV Anh. 113–132;Notenbüchlein für Anna Magdalena Bach;36;Minuet in D Minor, BWV Anh. 132
2_Bach_Prelude_bwv_926.xml;Bach, Johann Sebastian;BWV 924–932;Kleine Präludien;3;Praeludium in D Minor, BWV 926
3_Bach_LittlePrelude_bwv_936.xml;Bach, Johann Sebastian;BWV 933–938;Sechs kleine Präludien;4;Praeludium in D Major, BWV 936
4_Bach_Prelude_bwv_939.xml;Bach, Johann Sebastian;BWV 939–943;Fünf kleine Präludien (Kellner-Sammlung);1;Praeludium in C Major, BWV 939
5_Bach_Invention_nr_1_bwv_772.xml;Bach, Johann Sebastian;BWV 772–786;Zweistimmige Inventionen;1;Inventio No. 1 in C Major, BWV 772
6_Bach_Invention_nr_14_bwv_785.xml;Bach, Johann Sebastian;BWV 772–786;Zweistimmige Inventionen;14;Inventio No. 14 in B-flat Major, BWV 785
7_Bach_Sinfonia_nr_15_bwv_801.xml;Bach, Johann Sebastian;BWV 787–801;Dreistimmige Sinfonien;15;Sinfonia No. 15 in B Minor, BWV 801
8_Bach_Prelude_wtc_vol_I_nr_5_bwv_850.xml;Bach, Johann Sebastian;BWV 850;Das Wohltemperierte Klavier, I;1;Praeludium No. 5 in D Major, BWV 850
9_Bach_Prelude_wtc_vol_I_nr_15_bwv_860.xml;Bach, Johann Sebastian;BWV 846–869;Das Wohltemperierte Klavier, I;1;Praeludium No. 15 in G Major, BWV 860
10_Haydn_PianoSonata_hob_xvi.xml;Haydn, Joseph;Hob. XVI:34;Piano Sonata No. 53 in E Minor;;
11_Mozart_Andante_kv_1a.xml;Mozart, Wolfgang Amadeus;K. 1–15;Nannerl Notenbuch;1;Andante in C Major, K. 1a
12_Mozart_Trio_kv_1_1e.xml;Mozart, Wolfgang Amadeus;K. 1–15;Nannerl Notenbuch;6;Menuett in C Major, K. 1f
13_Clementi_Sonatina_op_36_nr_1_1st_movt.xml;Clementi, Muzio;Op. 36, No. 1;Sonatina in C Major;1;Allegro
